E_x	E_y	E_z
2.065404	1.436422	1.267001
2.144014	1.413971	1.186416
2.055188	1.409473	1.161029
1.949932	1.310277	1.097863
2.020946	1.458480	1.069079
1.994463	1.540123	1.117389
2.108923	1.318653	1.090630
2.115646	1.334518	1.156767
2.065743	1.394321	1.080587
2.253171	1.410564	1.043507
2.179397	1.315416	1.135616
1.974181	1.302791	1.131827
2.179987	1.410706	1.105496
2.105461	1.282438	1.057283
2.096931	1.468108	1.134140
2.002682	1.408652	1.076581
2.087566	1.425767	1.179876
2.211601	1.312520	1.076446
2.170014	1.444222	1.060780
2.134654	1.283701	1.004079
2.212920	1.464038	1.085468
2.230642	1.385113	1.039555
2.185873	1.469039	1.082318
2.279500	1.152926	1.143711
2.172059	1.322728	1.086010
2.019834	1.324451	1.102968
2.283108	1.297855	1.012602
2.137992	1.401205	1.094946
2.139242	1.366896	1.074619
2.254967	1.271625	1.039809
2.156247	1.210420	1.083635
2.208563	1.316499	1.040873
2.086153	1.280525	1.029801
2.135449	1.295963	1.082845
2.340390	1.317166	1.068891
2.196641	1.156205	1.044618
2.210032	1.480925	1.029209
2.231413	1.289674	0.953014
2.297783	1.344797	1.097019
2.147133	1.389764	0.929578
2.262609	1.445019	0.957451
2.179371	1.284418	0.991003
2.108783	1.278324	0.946112
2.263833	1.200492	1.139050
2.172792	1.241589	1.080839
2.142433	1.279128	1.114879
2.117390	1.272269	1.033353
2.299782	1.162033	0.911845
2.283476	1.273491	1.026683
2.273488	1.196657	1.022332
2.272650	1.190554	1.141863
2.289362	1.151285	1.048188
2.183869	1.296196	1.082858
2.198554	1.305979	1.023938
2.324884	1.372578	0.971593
2.209813	1.160227	0.925828
2.263665	1.249181	1.004784
2.334579	1.221253	1.090066
2.255773	1.421006	1.024995
2.214407	1.133422	1.011276
2.264994	1.264066	1.007604
2.279341	1.143814	0.855520
2.254352	1.268393	0.982214
2.197437	1.214023	0.992081
2.227593	1.209466	0.964574
2.211163	1.221705	0.999295
2.381106	1.270872	0.850940
2.232520	1.227463	0.989831
2.344453	1.474820	0.991147
2.393948	1.254478	0.994220
2.288079	1.236945	0.884441
2.296893	1.140747	0.945583
2.491173	1.034264	0.987955
2.199526	1.136107	1.015201
2.328194	1.087896	0.876929
2.377224	1.111207	0.943862
2.332539	1.114406	1.085476
2.379520	1.008714	0.935720
2.285184	1.221890	0.859356
2.329041	1.193222	0.980789
2.250439	1.127684	0.877302
2.294263	1.282638	0.940365
2.251484	1.216560	1.066226
2.426260	1.031293	0.867823
2.446603	1.089729	0.934507
2.412429	1.070877	0.893840
2.113969	1.061194	0.876450
2.266199	1.258115	0.785224
2.329483	1.143184	0.997676
2.257487	1.218345	0.887449
2.294239	1.163529	0.898716
2.325496	1.131904	0.851998
2.381673	1.174162	0.996962
2.282954	1.282347	0.728724
2.367023	1.164395	0.893329
2.334306	1.102598	0.832409
2.339392	1.179899	0.893294
2.334198	1.181656	0.886705
2.449687	1.159449	0.798628
2.349249	1.166351	0.903732
2.392220	1.117215	0.950935
2.351930	1.147595	0.837108
2.382466	1.187154	0.911346
2.462283	1.200874	0.848189
2.454879	1.077947	0.868106
2.396418	1.106780	0.885616
2.347242	1.254759	0.762721
2.319959	1.183049	0.894745
2.460230	1.141712	0.831657
2.348508	1.098704	0.779001
2.491301	1.080457	0.765094
2.396412	1.120960	0.781953
2.361181	1.106806	0.839837
2.387142	1.051777	0.836107
2.318855	0.980157	0.762067
2.413734	1.107683	0.923856
2.496331	1.071054	0.809039
2.359064	1.080381	0.786085
2.460688	1.018484	0.843962
2.553652	1.071162	0.832423
2.492653	1.048057	0.816394
2.444015	1.084341	0.738911
2.447069	1.113267	0.903030
2.519319	1.236345	0.733960
2.514923	1.087583	0.953070
2.390984	1.009865	0.741213
2.294404	1.032462	0.726574
2.467047	1.096611	0.921571
2.529103	1.026834	0.710836
2.496751	0.970244	0.912943
2.550332	1.033269	0.644475
2.565414	1.059100	0.863181
2.346272	1.022007	0.768132
2.471340	1.032512	0.811856
2.389689	1.054932	0.771577
2.510268	1.118362	0.675629
2.358533	1.160234	0.782332
2.419343	1.180199	0.763525
2.565796	1.068419	0.906856
2.610849	1.044211	0.822628
2.529433	1.165097	0.674861
2.534296	1.141434	0.612806
2.395891	0.908750	0.721996
2.540224	1.174046	0.745259
2.610309	0.957576	0.609460
2.485733	1.089639	0.732283
2.336556	1.053939	0.634431
2.543536	1.087944	0.659318
2.456448	0.980870	0.722661
2.568281	0.986282	0.762730
2.458514	1.000683	0.714474
2.422258	1.018599	0.630246
2.648854	1.062779	0.665204
2.519126	1.051759	0.698719
2.550699	1.117082	0.673124
2.462988	1.039763	0.537898
2.394054	1.163068	0.831557
2.490514	1.103992	0.729181
2.741586	1.144952	0.693909
2.440462	0.940772	0.716440
2.456840	0.954896	0.650376
2.433867	1.188446	0.762693
2.515783	1.173290	0.700085
2.453161	1.176948	0.732426
2.441320	1.048896	0.624073
2.416739	1.133129	0.830700
2.416872	1.106419	0.636457
2.486524	1.020335	0.618230
2.527972	1.003049	0.701100
2.521818	1.048091	0.610548
2.483560	1.123346	0.713996
2.454713	1.074858	0.730606
2.404014	1.108913	0.622393
2.573184	1.011707	0.534574
2.409472	1.073384	0.687284
2.464842	1.118536	0.541067
2.528816	0.980715	0.614684
2.538412	1.007948	0.632633
2.611394	1.030185	0.722068
2.452237	1.114198	0.765439
2.352613	1.015742	0.698546
2.523759	1.104429	0.607924
2.546460	1.066037	0.738778
2.560006	1.104190	0.618288
2.505290	1.047621	0.676762
2.511202	1.103025	0.800846
2.609003	1.058106	0.733309
2.513935	0.931001	0.565652
2.405082	1.058835	0.640695
