E_x	E_y	E_z
2.065404	1.436422	1.267001
2.175577	1.371352	1.160381
2.117842	1.326602	1.108483
2.043067	1.189703	1.018448
2.143814	1.302922	0.962556
2.146182	1.352461	0.983641
2.288483	1.101915	0.929658
2.321910	1.091866	0.968696
2.297452	1.129042	0.865663
2.508951	1.126055	0.802093
2.457761	1.015167	0.868195
2.273540	0.990376	0.838996
2.498653	1.089766	0.787968
2.441652	0.956665	0.715882
2.448785	1.141234	0.769797
2.368256	1.084429	0.690331
2.464852	1.107956	0.772853
2.598527	1.004873	0.649880
2.564457	1.150468	0.615992
2.534447	1.007530	0.542476
2.615861	1.209088	0.608532
2.634503	1.154952	0.548845
2.588406	1.267153	0.579460
2.678454	0.982707	0.630390
2.565179	1.187454	0.563967
2.404878	1.227277	0.573989
2.657852	1.241801	0.478512
2.500240	1.389142	0.557605
2.486836	1.401533	0.535910
2.585792	1.355500	0.501633
2.468245	1.345889	0.547902
2.499738	1.505728	0.509495
2.354579	1.525479	0.504686
2.379278	1.598397	0.565884
2.557860	1.678622	0.561958
2.386084	1.578003	0.549556
2.369878	1.964155	0.547826
2.360199	1.835198	0.487073
2.394158	1.953240	0.648235
2.209864	2.061513	0.499608
2.290584	2.180221	0.547887
2.171606	2.082981	0.603368
2.064425	2.139916	0.581853
2.182163	2.124540	0.799531
2.053229	2.227286	0.767335
1.984535	2.325432	0.828574
1.920857	2.377910	0.775332
2.064457	2.325515	0.683093
2.009343	2.493100	0.828077
1.960679	2.470469	0.854640
1.921437	2.516438	1.005741
1.900160	2.526916	0.944176
1.757232	2.719062	1.011379
1.735176	2.773394	0.985297
1.825595	2.881687	0.965972
1.675573	2.708023	0.953291
1.695563	2.832512	1.065271
1.733828	2.836841	1.183398
1.623706	3.065453	1.150871
1.552470	2.803229	1.169277
1.574742	2.955644	1.197193
1.562429	2.853501	1.076045
1.512532	2.992463	1.232910
1.432547	2.948707	1.272073
1.441554	2.950966	1.272882
1.405969	2.966205	1.334836
1.558815	3.014559	1.212534
1.395247	2.966537	1.376203
1.494363	3.205513	1.400936
1.533243	2.973067	1.425982
1.418995	2.939768	1.336656
1.421687	2.824216	1.416659
1.612113	2.694881	1.476236
1.318886	2.770477	1.518975
1.448243	2.692742	1.394433
1.500215	2.683382	1.473287
1.460704	2.650903	1.624980
1.515056	2.506684	1.483431
1.430248	2.678646	1.413381
1.485742	2.606257	1.539220
1.420825	2.494675	1.438226
1.480318	2.601460	1.501872
1.455117	2.485289	1.626412
1.649297	2.248218	1.424804
1.690783	2.253359	1.486422
1.679393	2.179945	1.438860
1.405256	2.114660	1.412786
1.583239	2.255174	1.311134
1.673592	2.083269	1.511471
1.629859	2.101124	1.387500
1.695947	1.988912	1.383462
1.757483	1.900042	1.319950
1.844747	1.885442	1.446711
1.777790	1.937397	1.158944
1.894157	1.764076	1.302787
1.894133	1.648004	1.219965
1.932167	1.672348	1.257909
1.960029	1.622689	1.227442
2.108542	1.550824	1.114659
2.040952	1.510030	1.194338
1.812951	1.313571	1.661428
1.827923	1.399124	1.774133
1.818045	1.349944	1.796760
1.672611	1.386457	1.765345
